,reviews
756,"San Antonio to Phoenix. I cannot count the times I am constantly delayed with Southwest, today was no exception. Poor updates, slow customer service and a wasted day due to poor planning by the airline. Disappointing and will no longer use their services."
757,"Not Verified |  I am very aggravated with Southwest Airlines. We were on the plane headed to our cruise in Mexico about a month ago, something went wrong with the plane (which we were understanding because things like this happen that are out of anybody’s control). Southwest customer service was not helpful in trying to figure out how to get to our next destination. They kept ignoring us and promising us multiple vouchers while we were at the airport (that we have yet to receive). We took matters into our own hands, and at this point we had to figure out another way to get to Mexico through a different airline. Southwest promised us a refund, & vouchers (probably hoping to keep our mouth shut) but it’s been a month now & we haven’t received a single thing from them. Altogether my friends and I spent $5,000 or more that weekend because of Southwest and they can’t even give us a $75 refund for our flight. Never flying through Southwest Airlines again."
758,"✅ Trip Verified | I had probably the worst experience with Southwest. Here is what happened: On December 1, 2019, I was flying from Baltimore to Las Vegas. By the time I got onto the plane, all the compartments are full. Then the flight attendant took my luggage and seated me in one of the front seats. After all the passengers moved out, I started looking for my bag but couldn’t find it anywhere. Then I asked for the flight attended where she put my luggage, she wasn’t able to find it either. Long story short, after calling Southwest customer service representatives, I was finally offered a $75 voucher for my lost luggage which they call it ‘for apologies’. I can’t imagine $75 dollars for my lost carry-on bag. I don’t recommend anyone to fly Southwest, if you have to fly prepare for the worst."
759,Not Verified |  San Diego to Phoenix. First flight was delayed over 30 minutes. Plane flying in was late. A day later returning home was seated promptly but plane was delayed over an hour. Not a great first impression of Southwest Airlines.
760,"✅ Trip Verified |  In mid September, my husband and I took a short flight from Oakland to Portland, as we were moving up to our new place in Portland. I packed my wedding flatware, which I use for special occasions in my check in luggage, thinking that if I added it to my carry on, they could consider it to be dangerous. Up to this point, the other issue I had with Southwest over luggage was a few years ago when they smashed up my Samsonite luggage from OAK to Long Beach. They did correct the situation by reimbursing me for the damage. However, when I arrived at PDX and our new place, I did not unpack all of my luggage immediately, since we had 4 bags between the two of us. A few days after we landed, I looked for my flatware and found it was missing, except for the butter knives. Someone took out the 12 dinner forks, 12 salad forks, 12 Soup spoons and 12 teaspoons, I called Southwest right away and was told that they would process the claim. When I called customer service, I begged and pleaded for them to find it and return it to me. I don't even want the money for the flatware, I just wanted the flatware because it was sentimental to me. SouthWest said someone could have taken it out of my luggage and not returned it to its place and that many times it ends up at a lost and found in Atlanta. Well, I put in a claim, sent a letter and asked them to check in Atlanta. ALL I wanted was my flatware. it wasn't extremely expensive, but it was Mikasa and it had been discontinued. They denied my claim and when I appealed the denial, they sent me a letter stating that they cannot reimburse everyone for what they ""claim"" they lost and hoped that I would not give them bad online reviews because of it."
761,"✅ Trip Verified |  Baltimore to Fort Lauderdale was my 1st flight in 23 years due to PTS from a white-knuckle Washington-RDU ValuJet flight, the month after the 592 disaster, that suffered engine trouble right over Raleigh that badly scared me. The attendants especially Steve and Christie (who me & my big brother in the rear saw most) lived up to their title, doling out instructions & the meager excuse for food and drinks, in a professionally caring and friendly manner. The atmosphere was convivial & untroubled by complaints or aircraft/crew problems. This airborne adventure bookending a Carnival cruise, after such a long time & many industry changes therein, was one which the crews involved truly highlighted with their skills & friendly, engaging service. rrow"" finishes which can be described as a landing only charitably - & not leave passengers marinating in their buckled seats (I didn't) for long minutes waiting for the gate!"
762,"✅ Trip Verified | I took this quick trip to FL to visit my sister and help out with her friendsgiving dinner. I sat in an aisle seat and a woman sat at the window seat. It was a full flight however our middle seat was vacant somehow. I started a new medication the day before and I had taken it as well as my regular pain medicine. Being it was an early flight I had not eaten breakfast. I did have water and snacks with me on the plane if I got hungry. I started to feel hot and a little faint and it intensified to almost passing out. The woman next to me who turned out to be a spectacular nice friendly woman immediately came to my assistance. She made me eat something and she was fanning me hoping that I would not pass out. I was within minutes of doing so. The stewardesses on board were also spectacular! They asked for a nurse or doctor on board and luckily for me there was a physicians assistant directly behind me. She came over to me, took care of me, checked my blood pressure, listened to my heart and made sure that I was going to be OK. After drinking some orange juice and having some snacks my blood pressure did go down and I started to feel somewhat normal again. I never did pass out thankfully and was able to enjoy the rest of my flight and the great conversation. I can’t say enough about all four of those people who immediately came to my aid no questions asked. They were all happy to take care of me."
763,✅ Trip Verified |  Tampa to Las Vegas. Theres one staff working on this flight that I recommend be taught some serious customer service skills that he is clearly lacking. Also to be told that you guys are one of the fastest airlines boarding and arriving was a complete lie after being delayed to board and having to wait for a gate on arrival.
764,"Not Verified |  Nashville to San Diego. Southwest has stepped it up. Ease of checkin quick security lines, expedited seating, comfortable seating with wifi and movie access. Finally a couple snack. Entire travel to and from vacation a pure joy. Arrived early on both arrivals. They've done a great job throughout all levels. Thank you for a great experience."
765,"Not Verified | Baltimore to San Diego. Don’t waste your money on spending $25 for Southwest Airlines Early Bird option. I bought it nearly one week ago, but it did not show up as assigned at the 24 hour point. So I checked in myself at the exact 24 hour point. I got B02 - that’s what I think. I would get checking in at 24 hours, not a week in advance. They say no, you had early check-in. OK, that sounds fishy, whatever. But you maybe get B20-B30 tops if you check-in. Save the $25."
766,"Not Verified | Spokane to San Jose. I have gone on Southwest airlines since I was 3 years old and I think its a great airline because it doesn't charge for baggage, and I love the drink selection. Something bad that happened on this airline is that once I left my jacket on the plane, and the person we asked for help wasn't very nice or helpful, but I did get my jacket back."
767,"✅ Trip Verified |  Las Vegas to Salt Lake City. The Crew on flight 1227 was amazing.  They were very hospitable and did an excellent job at making everyone feel relaxed. The pilot also flew the plane very smoothly. I have a weak stomach, but it almost felt like I wasn’t even on a plane."
768,"✅ Trip Verified |  Nashville to Las Vegas. Worst airline ever, the free movies and entertainment is useless, the free WiFi is spotty at best and when I applied for paid WiFi it never worked. Seats are incredibly small and close together. I will probably never fly with SW again. I won't mind paying extra if that need be because all other airlines I flown with are so much better."
769,✅ Trip Verified | Baltimore to Punta Cana. Traveling with my family to Punta Cana. Staff member who was at the gate separated me from my wife and 3 kids and claimed that it is Southwest’s policy to separate parents from their kids. I couldn’t believe that my wife was going to board alone with 3 kids that are less then 3 years old. This would definitely be the very last time I fly with Southwest. This is very sad and someone needs to really fire this rude employee who has no customer service ethics and no family values.
770,Not Verified |  Grand Rapids to Albuquerque. This airline sucks. No space and you can’t sit with your husband because they have no assigned seating. If you get stuck in c and they do not follow the numbers so people cut in front. Miserable flight. I am furious that I am not allowed to sit with my husband and the person next to me is half in my seat. I have never had a more unpleasant miserable flight. I highly recommend never to travel with this airline which has less seat space than most.
771,"✅ Trip Verified | San Jose to Baltimore. Bad airline. Our flight got canceled at the last minute and no one ever called or emailed us. We are supposed to have direct flight but they switched us to 1 stop flight, extended the total flying hours, and pushed our position to bottom. Even worst, when I complained, they tried to give me a run-around, asking me to call many different departments. Terrible. Do not flight with them at all cost."
772,Not Verified |  Las Vegas to Albuquerque. Worst airline ever. They provide no flexibility in regards to flight changes. They make you check your carry ons when there’s multiple open bin spaces. They have been late departing and arriving on each flight I’ve been on. The customer service reps give you insincere apologies. 
773,✅ Trip Verified |  Orlando to Kansas City. I have flown Southwest Airlines for around 6 years now about 12 family vacations. After my terrible experience with a overcrowded plane and a rude hostess when trying to get my family seated that clearly told us to sit down. Southwest Airlines has really gone down hill in my opinion.I am no longer going to travel with my family because of this using.
774,"✅ Trip Verified |  Orange County to Denver. I like Southwest overall because of the transparent prices and the fact that they don’t charge extra to switch or cancel a flight. I choose them almost exclusively. However, I recently tried purchasing the inflight WiFi with “free” movies—technically an $8 movie since you have to pay for the WiFi first. I was very disappointed in the inflight entertainment quality. The movie buffered partway through for at least 15-20 minutes, and the audio didn’t match up with the video because of the internet lag. I will be downloading my own entertainment ahead of time from now on. Wish I could have gotten a refund on the WiFi."
775,Not Verified |  When traveling with Southwest I accidentally placed my tablet on the edge of a garbage can forgot and walked into security -a minute later I realized it and ran back but it was gone. I had just started my vacation and was devastated as this was a very special birthday present. I immediately placed a missing report but was frantically trying to cancel all my information loaded in my tablet. A few days into my trip I received an email from Southwest saying they may have found something that belonged to me. For a very small fee I have been reunited with my tablet in perfect condition. I would like to thank the person who turned this in and Southwest airlines for their expert and immediate attention to an item in their possession that was lost. My faith in the kindness of others and honesty of business has been restored -I am very grateful. I highly recommend Southwest Airlines from flying in their planes to the customer service on the ground.
776,"✅ Trip Verified |  Orlando to New Orleans. I love Southwest, but I’m very disappointed in one of the flight attendants, MCO-MSY at 11:10 on 10/24. She asked us to make sure our toddler didn’t play with the tray because the people in front of us could feel it. I said okay I’m sorry we will try our best, but he is 18 months and doesn’t quite understand. She then suggested that we move by the other people with kids. Southwest is open seating so I don’t appreciate being asked to move because we have a child. If there were certain rules to where families have to sit somewhere specific then Southwest should put that in place. Otherwise, everyone should be allowed to sit where they please - with children or without."
777,"✅ Trip Verified |  Alex, our flight attendant on our flight from Orlando to Las Vegas on October 19th on flight 3982 was awesome! I’ve never enjoyed a flight so much! He was funny, took his job seriously, and was so attentive to bat. Southwest is lucky to have him and such a wonderful team onboard their planes. The trip was smooth, fun, and I’m without a complaint."
778,"✅ Trip Verified |  Dallas to Washington. Why does it take so long to get bags? I could have flown another carrier. But still this is ridiculous 30 min. SWA you out here showing LUV, show some here at Washington Regan."
779,"Not Verified |  Dallas to New Orleans. I had 3 flights get canceled so I had to stay in the airport all night - waiting here for 14 hours. I asked Southwest staff for maybe a blanket or pillow and they were extremely rude. Would not recommend this airline, definitely not reliable."
780,"Not Verified |  Baltimore to Pittsburgh. As I boarded this SW flight, and was attempting to get a seat, utilizing Southwest’s ‘open seating’ policy, the attendant blocked me from getting to a seat, stating he was holding the seats for others. Because I asked him repeatedly about the Southwest policy that he was not adhering to, he got loud stating that I need to find another seat. I did and apparently I needed to have a ‘cheery’ disposition, because before I knew it, another attendant was in my face telling me I need to listen to the attendants. I was already in a seat and was lost as to what she was talking about, sure enough another employee who was not even with the crew, comes on board and is now demanding that I verbally answer him, when he tells me I need to listen to the attendants (and no I was not in the emergency exit, nor was I doing any duties for the airline). So yes we are back in kindergarten and I answered him, but that too was not good enough, because he provides his rendition to the captain and I was told to leave the plane. I was not loud, nor drunk, nor physically abusive, I did not raise my voice, nor did I cause a commotion. And now I am told to leave the plane because 1 person, decided to take his frustration out on me. I did nothing wrong to anyone on that plane, nothing wrong to anyone in the airport and Southwest can justify people making decisions like this. If you are frustrated with your job before 9:00am then why does Southwest have morning flights? Clearly the employees do not want to deal with customers during certain hours. And what is even more disheartening, is the fact that they are allowed to document lies and nonsense to cover their end and nowhere is it documented what I went through as a paying customer. I guarantee I would not recommend Southwest to anyone ever."
781,"✅ Trip Verified |  Baltimore to Orlando. I bought Southwest Airlines flight to Orlando thinking it was good as it used to be. I am traveling with a family due to which I carried 4 checked in bags. One of the checked bags had its handle broken, another bag came with a huge dent. Not sure if Southwest Airlines employees were all playing catch or basketball with my bags. By the way at the express check in they expect you to put the claims tags on the bags by yourself. I have never worked for an airline, due to which I tried my best to make sure that the claims label goes on each bag. The lady at Baltimore check in asked me 3-4 times as to why I did not put the labels in a certain way for them to read the label (it was not even bent). I had to tell her that I did this for the first time each time. She wouldn’t stop. Southwest Airlines you better have people at the kiosk to put those claims labels in a professional way.  Just because you are giving us free checked in bags, doesn’t mean that you can do all these damages and don’t even care about that."
782,"Not Verified |  This is the umpteenth time our flight has been delayed a ridiculous amount. Today it is delayed now 3 hours which puts us at our connection at the time it should leave, most likely without us. Southwest used to be the best, easiest, and most convenient and all of that seems to have ended. I choose Southwest for many years now because I’ve always enjoyed the company more than others. Now it’s smartest to go with the most affordable, since the only things that make Southwest stand out anymore are negative. The free bags used to be nice, now it’s cheaper to pay someone to check them. The family boarding used to be nice, now they just let anyone with a minor on at that time, even if the “child” is actually of adult ability. The price used to be nice, now many other airlines are less expensive. The staff used to be nice, now they’re nowhere to be found. Not even one staff member manning the two gates I’m siting at."
783,✅ Trip Verified | I scheduled a flight in May for my September trip. Originally from Orlando. Hurricane was bearing down on Florida and Orlando airport was due to close because of the storm. My tickets were bought and paid for in May. 400$ round trip for 2. At the very last minute before the airport closed I switched my flight to Tampa so I wouldn't miss my trip. Southwest charged me an additional 400$ for the same distance flight that they cancelled 4 hours later when they closed the Orlando airport. Been a Southwest customer for many many years. I will be looking at my options and do what it takes to never use Southwest again.
784,"✅ Trip Verified |  Phoenix to El Paso with Southwest Airlines. If you fly with children, expect to be separated and to have your children fly next to adult strangers. They cannot guarantee you will sit with your children, although they try to sell you upgraded boarding. The upgrade also does not guarantee your seating with your family. It's disgusting and reprehensible. Karma is what happened to them with the MAX. Worth it to pay more with another airline and guarantee your seat."
785,"Not Verified |  Atlanta to Fort Lauderdale. We boarded the plane only for the pilot to tell us that we couldn’t use the plane anymore because of the window compressor being frozen or some sort. However, this was an inconvenience for me because I’m flying into Fort Lauderdale and now I’m going to be on the road extra late now do to the flight being delayed for an hour."
786,✅ Trip Verified |  Orlando to Atlanta. The personnel on the flight is what really made this a great flight. I have never run into a better flight crew. Friendly without a false feeling. On the lookout for problems and a way to help. Paired with the reasonable cost of airfare made this a pleasant flight.
787,"✅ Trip Verified | Columbus to Fort Myers. New seating is terrible, I will never fly Southwest Airlines again. Plane was cramped. I could not even sit with my wife on our way to honeymoon. I would not recommend."
788,"Not Verified |  I flew from Houston to Columbus in August, and it was a pretty smooth flight. The cabin crew were very nice, so was everyone there. I would reccomend Southwest Airlines."
789,"✅ Trip Verified |  San Jose to Denver. Normally I like Southwest, but they sometimes force you to put both carry ons under your seat if neither is a roller bag. This is horrible. I have a bad knee and am not taking up unreasonable space in the overhead with a laptop bag and have a purse with things I need in the seat, and then save room to stretch out to avoid pain. They allow free checked bags and to punish me for not bringing on a huge roller is ridiculous - others can check or gate check a bag! I'm very angry. Maybe I should buy a roller just for my laptop so I don't have a back pack under my seat in addition to my purse."
790,"Not Verified |  Las Vegas to Columbus. The Male flight attendant had a favorite row. He spent half the flight standing and talking to them. By the time we got out drinks our ""snacks"" (fritos and baby cookies) were gone because he was so busy playing favorites. Very unprofessional when I spent over 1000 dollars flying with you guys this trip. Never again."
791,✅ Trip Verified | Salt Lake City to Charleston. I would give less than one star if I could. When paying to fly you expect to sit by your spouse not several rows behind. Maybe they should think about updating the seating arrangements
792,"✅ Trip Verified | Baltimore to Boston. I pride myself on packing a carry on bag whenever possible, as opposed to checking a bag. I find it infuriating the lack of communication between the flight crew and the gate attendant checking tickets. Overhead bin storage for carry on luggage was cut off towards the end of the “B” group. For those who do not understand who SW operates, you are not assigned a seat. Based on when you check-in, you are either in Group A, B or C (#1-60). My fiancé and I were B45 and B46 and around B35 an announcement was made that no more carry on bags allowed because overhead bin space was full. No big deal, right? Well when you walk down the aisle and see five bins completely open, I was inspired to write this review. (That doesn’t include the bins that were partially full). See below for just a few photos."
793,"Not Verified |  Reno to Phoenix via Las Vegas returning PHX-RNO, Outbound both flights were spot on with departure. Ground staff great in Reno. We were a pound or two over on our luggage, but no problem. All check-in staff very friendly. Even TSA was accommodating when I forgot to remove my IPad from my backpack and had to get rescanned. Reno airport is always great. Flight left on time. Typical snack/beverage service, with a smile from attendants. Onward flight all the same out of Vegas to Phoenix. Reasonable time for baggage pickup. Then out of the airport. Both flights on a 737-700, reasonable legroom and comfort. Return from PHX-RNO on 737-800. Newish plane but seats less comfortable then the 700. Staff still great and seem genuine. Early departure and arrived 20 minutes early. No complaints. Southwest always deliver a great product in and out of Reno. They have never let us down over the years. Also they had free WiFi and movies on the 800 plane. I did not use so can’t comment but saw others using it with no problems."
794,"✅ Trip Verified |  Denver to Spokane. A flight attendant did something I’ve never seen in more than 40 years of flying. As we were landing, she asked us all to give a round of applause for military on board. Inappropriate. Now lift up the Peace Corps. Teachers. Journalists. All who also do heroic work."
795,"Not Verified |  Indianapolis to New Orleans. I have been a big supporter of Southwest in the past. I would drive the 2 hours instead of using the local airport, because of cost savings and a good flight. I flew in March with no issues, but this September was a different story. My flight to MSY was okay, but the return trip was another story. My flight was cancelled. I did get another flight to a city that was two hours from my destination. I had to drive to the other airport to pick up my car. Southwest lost my luggage and i had to wait several days for it to be delivered to my home. I incurred extra cost to get back to the other airport at such a late hour, and lost money by not getting back home at designated time. I called Southwest to ask about reimbursement for at least my hotel and rental car that was extra, but was told we do not cover those expenses. I have another flight next month, and I decided to just fly from the smaller local airport. My expenses are a bit more, but my time has value as well, and with what happened last time, the flight was not cheaper in the end. Southwest did not provide value and I see no longer to fly with them."
796,Not Verified |  I used to love Southwest because of flight attendants being a pleasure that gave you peanuts. Last two flights to to get from Phoenix to Charleston staff had very poor attitudes to the point of being rude. To supposedly get a better seat we paid $50 for each of us (my wife and I) got a B position. 100 bucks wasted. Hopefully won't ever use them again. I used to write them compliment letters when Herb ran it.
797,"Not Verified |  Earlier this year we took a trip to New York and flew Southwest. On our return flight you cancelled the flight telling everyone there was lightning at LaGuardia and Southwest was not flying. You charged us $320 per ticket for a round trip. We should receive a 50% ($160) refund each for you not honoring your end of the contract. We received $115 each, curious as to what kind of math you used! No assistance of any kind was offered by your companies personal and we were told another flight wouldn't be available until the next day. The worst part is that it cost us an additional $900 to fly home to the wrong airport on Delta that day. We sat in the airport for nearly five hours waiting for our flight watching Southwest planes take off and land. Since this is the way you treat customers we will never again use your airline and urge others to do the same!"
798,Not Verified | Chicago to St. Louis. I flew Southwest and it was absolutely terrible. The crew was rude and grumpy. One kept yelling at me to push my bookbag under the seat and it was as far as it could go because they ran out of overhead carry on storage room so they had to check everyone’s rolling carry-ons as checked bags. It was a mess. I will never fly Southwest again.
799,Not Verified |  Salt Lake City to Cleveland . I just booked my flight through Southwest then booked a rental car through their same portal after that I booked by hotel. Saved me $53!  I thought I had done well for myself. They booked by rental car for an hour and 20 minutes after my landing but my hotel they booked for the next day. Since I continued and confirmed my reservation it is nonrefundable. This is all automated and does not indicate that my check in would be restricted till the next day. I went in again thinking I had just not paid attention and done something wrong.  It again tried to do the same thing. After 25 minutes with customer service did nothing but regurgitate the lines they had been taught (to admit to nothing and tell me I should have checked closer). When I told her I was their website trying the same thing again she wanted to hear none of it.  I will fly with them in the future but will not use their automated system to book anything else.
800,"✅ Trip Verified | Flew Raleigh to Orlando return this past week on Boeing 737-700 aircraft. The inbound flight arrived 15 minutes early (and had 50 empty seats), while the outbound flight was full and on-time. Had no problems with the ground or plane crew in terms of service, the in-flight phone app entertainment worked fine, and it was an uneventful pair of flights. (Although it took 15-20 minutes for them to start unloading luggage at the claims area when I got back.) Getting TSA PreCheck helps immensely."
801,"Not Verified |  Philadelphia to Orlando. Delayed. Two hours. I can’t get home because it is a late flight and there is no ground transportation to my home. No compensation for hotel or travel. I will probably have to Uber for $130. They will not compensate for the shuttle service I cannot make it to because of the delay. The response of their ground crew “sucks for you”. Never again. Oh yes, the flight was delayed to get here also."
802,"✅ Trip Verified | St. Louis to Sacramento via Los Angeles with Southwest Airlines. The seats were annoyingly uncomfortable, but otherwise the flight was smooth. The “Evolve” interior in the 737-700 looks dated compared to the “Heart” interior found on the 737-800 and Max 8. The flight attendants were nice as well."
803,"Not Verified |  First time on Southwest Airlines from Salt Lake to San Diego and I’ll never ever book a flight again. When I travel with my wife I want to sit next to her, not some random strangers. I fly a lot but never will again with this company. Employees were rude and said things slightly offensive during announcements."
804,"Not Verified |  Orlando to Philadelphia. I was trying to get my elderly mother on a Southwest flight to Philadelphia so she would be safe from Hurricane Dorian which was headed towards Central Florida. Regulations did not allow me to help my mother get onto the airplane and into her seat. The Gate attendant was extremely helpful to me as my mother was traveling with her little dog and I was very concerned that she would become confused as she has some dementia and would not be able to find a seat or get into her seat while dealing with her dog and her purse. The Gate attendant made sure that someone assisted my mother onto the airplane and helped her get her dog safely under the seat in front of her. Once all the passengers were on board, he made a point of coming over to me and assuring me that my mother was doing fine on the airplane and that the flight attendants would watch over her on her 2.5 hour flight into Philadelphia. I cannot begin to express my gratitude for his helpfulness that day. He was an angel in disguise and I really appreciate everything he did for my mother and her dog. Many thanks."
805,✅ Trip Verified | We had to fly from Phoenix to LAX where we had a connecting flight from LAX to London from there. Our Southwest plane was 40 min late and we were running short on being able to make our connection flight in LA. Southwest announced that they were offering early boarding and early exiting for the late flight for $30 per person. We talked to Southwest employee about waiving that fee for us since the plane was late and jeopardized our connection flight. The employee said she couldn’t do that for us because we should have allowed more time for the connection flight. We had 3 hours. It seems that when Southwest is late it uses that to sell their customers early boarding and early exits because they know people with connecting flights are now running late and are forced to purchase these $30 extra tickets. What a scam! I showed up on time and waited for your plane that’s late due to you not being organized enough to get your customers in wheelchairs off the plane in a timely manner. Now you want me to pay extra for you being late? Horrible customer service!
806,"✅ Trip Verified |  Las Vegas to Orlando via Nashville. On August 22 flight #2421 was over 20 minutes late arriving in Las Vegas. This caused the flight to leave Las Vegas over 50 minutes late this jeopardizing our connection flight #1296 in Nashville. The flight attendants then said they will hold the plane in Nashville until we arrive there. However, we paid for the early bird check-in because Southwest doesn't assign seats for their passengers. In order for you and your family members to sit together, you have to purchase the early bird check-in which assures you a place in line within the first 60 people. This does not work if your flight is delayed coming in and your connecting flight already boards everyone even the people who didn't pay for the early bird check-in. So you get screwed and lose your place in line which you paid for. So when they boarded us onto flight #1296 and we tell the flight attendant that we paid for the early bird check-in. The flight attendant says well we waited 20 minutes for your flight to get in. How is that the passenger's fault that the flight go in late? So they tell us to sit in the only available seats which are center seats not even in the same row. Also to make matters worse the seats are sandwiched in between 2 larger than normal-sized people. So I had to squeeze between 2 large people and my husband got to sit next to a 350lbs man who was partially in his seat so much so that he had to lay his tray table down to lean on it for the entire flight. Did the flight attendants care? Of course not because they herd people like cattle on these aeroplanes, they don't care if your flight is uncomfortable. The flight lasted 1 hour and 23 minutes to Orlando. When we got home. I called Southwest Customer Service and the only thing they said they can do from their end is to refund us the $12.50 each that we paid for the early bird check-in. They said to call their Customer Relations Department. On 8/30/19 I call Customer Relations and explain to the representative the situation and the terrible experience and she said she can only refund us $50 each in travel vouchers towards another Southwest flight. So this airline company takes your money, gives you a terrible flight experience and only gives you $50 each for your unsatisfactory experience due to their flights not keeping on schedule. I told the representative if Southwest assigned seats in the first place it would not have been a problem because no one would have sat in someone else's seat. We pay for the early bird boarding to get within the first 60 people on a plane so parties can sit together. Looking back in hindsight my husband and I should have walked off the plane and asked to be put on another plane where we would be able to board within the early bird boarding and not lose our place in line. I doubt if I will ever book another trip with Southwest."
807,"Not Verified | Columbus to Denver. I had a lot of anxiety about my trip. It was my first time taking my service dog on a plane. Every single staff member I encountered was friendly, professional and compassionate. Both flights and all 3 airports went smoothly. Truly appreciate the experience and will absolutely choose Southwest in the future. Thank you for getting us home safe and sound!"
808,Not Verified |  Original flight to Houston for first leg was canceled with no notice or explanation. Total trip was supposed to take 6 hours is now 14 hours. Rerouted to Dallas where most of passengers from Houston were on flight. I believe they cancelled the original flight to Houston to fill low passenger flight to Dallas. In Dallas now and have been shuffled around to multiple gates. 
809,"Not Verified |  Salt Lake City to Denver. I was checking in and the woman at the counter (Nancy) gave the absolute best customer service I’ve had with any airline! She helped me with my bags and was just overall, a really kind person. She should be the face of the airline!"
810,"✅ Trip Verified |  On both flights from New York to Los Angeles and the return, Southwest cancelled one leg of the flight leaving me to spend the night in the airport on my own twice now in one month. Today I had to wait a full 28 hours to board the next flight. Never book with Southwest if you are not flying non-stop to your destination. Cancellations and delays are the rule and not the exception. The airline does not provide meal taxi nor hotel vouchers. Delays and cancellations are always magically due to weather even in perfect summer conditions according to the airline. The truth is that the airline does not have enough planes staff and pilots to cover slight delays."
811,"✅ Trip Verified | On this day, our flight was delayed due to storms. I am a copd patient who travels with oxygen. After a long day of traveling, I was running low on battery charge. The flight attendants went over and beyond what I needed to make me feel comfortable. And charged my batteries. The outlets at the airport are far and few that even work. And the outlets are always far from were the wheelchairs are placed. After a 5 hour delay we made it home. Thank you for all your help and assistance. And to all who took time out of their day to help me, thank you."
812,"✅ Trip Verified |  I flew Puerto Vallarta to Houston, pilot tried to land twice and was a bad storm, he good decided to come to Austin and get some gas. I am always some stress about airplanes and I have been handling pretty good, when I saw we were over the airport in Houston and had to go up twice I starting very nervous, the Captain explained the situation but was very stressful not your fault. I asked the stewardess if she can give me an alcohol drink and she answer in a bad attitude we cannot do that, I was so stressed. I understand sometimes you can’t but was the mean way she said, she was not nice with anybody please urgent put her in a customer service training; on the back of the airplane the other stewardess were serving sodas and taking care about customers she was only sitting at the time I asked for a drink. You have an excellent employees who always take care about customers and do amazing job but her attitude is the worst I have seen. "
813,✅ Trip Verified |  Chicago to Norfolk via Orlando. Yesterday I got on board my flight to ultimately take me to Norfolk. The weather in Chicago was lightning and thundering so the pilot wisely put us back at the gate after finding out that we would not be taking off for sometime. They allowed us to get off of the plane so that we could use regular washrooms. It soon became evident that I was going to miss my connecting flight in Orlando which would ultimately take me to Norfolk. I expressed my concerns with the pilot who suggested that I cancel and re-schedule for today. I went to the desk and got a ticket and will be flying out today. In the meantime I had many questions come up regarding my rewards program and had to call customer service for two different issues. Every single person I got with was perfect at handling their job. I cannot give a high enough rating for this airline. I have never had a bad experience traveling on Southwest.
814,"✅ Trip Verified | Milwaukee to Atlanta. My family and I were taking a vacation to St. Pete’s beach in Florida. Our flight from Milwaukee to Tampa Bay was at 6. We wanted to fly into Tampa and take a cab to the hotel where we would be staying. We could not fly directly to Tampa Bay so we had landed in Atlanta. Now that would’ve been fine if our two hour overlay didn’t turn into a 10 hour stay at the airport. We missed the first day at our hotel which we paid for. We had to sleep at the airport. And we could not meet the rest of our family who was meeting us down there. They flew on Delta. There was a storm in Tampa Bay at the time yet every single airline except Southwest was flying there. Delta and United were still flying to Tampa Bay. I am sad to say this is not the first time I have had an experience like this. At our 10 hour wait at the airport, the airline kept changing the estimation time from waiting to hours to adding an extra 8."
815,"Not Verified |  Dallas to Denver. The staff taking drinks to people was nice, but I watched him talk to co-workers while people are looking around at least twice. $300 each way so $600 is a waste if you don’t have beverages."
816,"✅ Trip Verified |  Orlando to Milwaukee via Atlanta. Arriving to the airport from a business trip to be notified the flight was an hour delayed. Frustrating but understandable. Things can happen. A little over a hour later, received a text that the flight was canceled. Although it does text you new flights available, the process makes you pay for the new flight, so I didn’t process but went to the counter at the gate. There were over 50 people in a line dealing with the same situation. There were two ladies working the counter (there were additional stations open that more employees could have been deployed to move the line faster). I was in this line for 1 1/2 hours. Once it was my turn, no greeting from the employee, no apology and only one option was given for a new flight which was the following day with a layover making my direct flight into a much longer trip. I asked if Southwest was offering any compensation to their customers for hotel accommodations and the answer was “the weather in Milwaukee was going to get really bad and by the time the flight would get there, the airport would be closed, so no, they don’t compensate for weather”. That statement was false. I live in Milwaukee and no rain or storms were in the forecast. I left the counter not feeling valued as a customer. In customer service, how you handle a difficult situation is where you gain loyalty. Not one of those 50 customers walked away feeling valued or that anyone was doing all they could to help. I understand a regional airline like Southwest doesn’t have as many flights as the other airlines to try and help people, but they could have shown empathy, be apologetic, offered some type of compensation even if it was a voucher for their airline. But we were all just a number in a line. I will suggest to my company and to my husband’s company to think about this before booking their next flights."
817,✅ Trip Verified |  Las Vegas to Oakland. Always a pleasure simple easy and on time. No problems no questions. Simple and clear pricing. Why is united so all over the place? Always trying to make you feel like a class.
818,"✅ Trip Verified |  Chicago to Austin. I understand flight attendants have very minimal time to check through the plane before the next flight of people is being shoved on but I think after this flight that really needs to change. My 18 month old loves to pull out the magazine and info cards in the seat pockets and on this flight they were absolutely disgusting. One was sticky with who knows what, one pocket had so much trash fall on our stuff it was hard to tell how the magazine and info stuff fit, then there was a coloring book left right on the aisle seat that they easily could've picked up. Again I understand there's not a lot of time, but that should maybe be adjusted or get extra cleaners to come around, I don't know but it was a gross way to start the journey home."
